DDI-MedLine.d78.s0;;
The;O;O
fluoroquinolones;B-group;B-DDI-MedLine.d78.s0.e0
for;O;O
urinary;O;O
tract;O;O
infections;O;O
:;O;O
a;O;O
review;O;O
.;O;O
DDI-MedLine.d78.s1;;
The;O;O
fluoroquinolones;B-group;B-DDI-MedLine.d78.s1.e0
are;O;O
a;O;O
rapidly;O;O
growing;O;O
class;O;O
of;O;O
antibiotics;B-group;B-DDI-MedLine.d78.s1.e1
with;O;O
a;O;O
broad;O;O
spectrum;O;O
of;O;O
activity;O;O
against;O;O
gram;O;O
-;O;O
negative;O;O
and;O;O
some;O;O
gram;O;O
-;O;O
positive;O;O
aerobic;O;O
bacteria;O;O
.;O;O
DDI-MedLine.d78.s2;;
These;O;O
agents;O;O
,;O;O
including;O;O
norfloxacin;B-drug;B-DDI-MedLine.d78.s2.e0
,;O;O
ciprofloxacin;B-drug;B-DDI-MedLine.d78.s2.e1
,;O;O
ofloxacin;B-drug;B-DDI-MedLine.d78.s2.e2
,;O;O
enoxacin;B-drug;B-DDI-MedLine.d78.s2.e3
,;O;O
and;O;O
lomefloxacin;B-drug;B-DDI-MedLine.d78.s2.e4
,;O;O
have;O;O
been;O;O
extensively;O;O
studied;O;O
and;O;O
have;O;O
demonstrated;O;O
efficacy;O;O
and;O;O
safety;O;O
profiles;O;O
comparable;O;O
to;O;O
those;O;O
of;O;O
other;O;O
traditional;O;O
agents;O;O
for;O;O
the;O;O
treatment;O;O
of;O;O
complicated;O;O
or;O;O
uncomplicated;O;O
urinary;O;O
tract;O;O
infections;O;O
and;O;O
prostatitis;O;O
.;O;O
DDI-MedLine.d78.s3;;
Advantages;O;O
offered;O;O
by;O;O
this;O;O
class;O;O
of;O;O
antibiotics;B-group;B-DDI-MedLine.d78.s3.e0
include;O;O
optimal;O;O
pharmacokinetics;O;O
,;O;O
effectiveness;O;O
against;O;O
multidrug;O;O
-;O;O
resistant;O;O
organisms;O;O
,;O;O
and;O;O
oral;O;O
administration;O;O
even;O;O
when;O;O
parenteral;O;O
antibiotics;B-drug;B-DDI-MedLine.d78.s3.e1
are;O;O
generally;O;O
used;O;O
.;O;O
DDI-MedLine.d78.s4;;
The;O;O
fluoroquinolones;B-group;B-DDI-MedLine.d78.s4.e0
are;O;O
also;O;O
extensively;O;O
used;O;O
in;O;O
urologic;O;O
surgery;O;O
.;O;O
DDI-MedLine.d80.s0;;
Progestin;O;O
-;O;O
only;O;O
oral;O;O
contraception;O;O
:;O;O
a;O;O
comprehensive;O;O
review;O;O
.;O;O
DDI-MedLine.d80.s1;;
In;O;O
order;O;O
to;O;O
provide;O;O
information;O;O
for;O;O
the;O;O
appropriate;O;O
package;O;O
insert;O;O
labeling;O;O
of;O;O
progestin;B-group;B-DDI-MedLine.d80.s1.e0
-;I-group;I-DDI-MedLine.d80.s1.e0
only;I-group;I-DDI-MedLine.d80.s1.e0
oral;I-group;I-DDI-MedLine.d80.s1.e0
contraceptives;I-group;I-DDI-MedLine.d80.s1.e0
(;O;O
POC;B-group;B-DDI-MedLine.d80.s1.e1
);O;O
in;O;O
the;O;O
US;O;O
,;O;O
a;O;O
comprehensive;O;O
review;O;O
was;O;O
made;O;O
of;O;O
norgestrel;B-drug;B-DDI-MedLine.d80.s1.e2
(;O;O
0.075;O;O
mg;O;O
);O;O
and;O;O
norethindrone;B-drug;B-DDI-MedLine.d80.s1.e3
(;O;O
0.35;O;O
mg;O;O
);O;O
,;O;O
with;O;O
the;O;O
clinical;O;O
differences;O;O
indicated;O;O
where;O;O
applicable;O;O
.;O;O
DDI-MedLine.d80.s2;;
The;O;O
goal;O;O
of;O;O
this;O;O
review;O;O
was;O;O
to;O;O
cite;O;O
primary;O;O
sources;O;O
for;O;O
virtually;O;O
all;O;O
research;O;O
specific;O;O
to;O;O
POPs;O;O
since;O;O
1975;O;O
.;O;O
DDI-MedLine.d80.s3;;
Conclusions;O;O
and;O;O
the;O;O
types;O;O
of;O;O
studies;O;O
which;O;O
support;O;O
these;O;O
conclusions;O;O
are;O;O
given;O;O
for;O;O
each;O;O
major;O;O
section;O;O
.;O;O
DDI-MedLine.d80.s4;;
The;O;O
introductory;O;O
chapter;O;O
discusses;O;O
the;O;O
advantages;O;O
and;O;O
